1288 5043-UD657 KYCHN 03/01/2019 25/01/2019 
880 5839-J949  12/01/2019 EN_INVENTARIO 
 2222-2222  07/01/2019 EN_INVENTARIO 
 3ddd-3d3d  08/01/2019 EN_INVENTARIO 
11111111111 1111-1111  08/01/2019 EN_INVENTARIO 
1000 2222-2222 brrr 09/01/2019 EN_INVENTARIO 
 2222-2222  09/01/2019 EN_INVENTARIO 
33333 1111-1111  22/01/2019 EN_INVENTARIO 
2222 1111-1111  22/01/2019 EN_INVENTARIO 
2222 1111-1111  22/01/2019 EN_INVENTARIO 
55555 1111-1111  22/01/2019 EN_INVENTARIO 
77777 1111-1111  22/01/2019 EN_INVENTARIO 
